Month,Forecasted_Monthly_Sales,SKU_ID
2024-02-29,11157.28632375474,Beauty
2024-03-31,-4551.634896408128,Beauty
2024-04-30,5609.857684907168,Beauty
2024-05-31,-24613.015626729557,Beauty
2024-06-30,4843.672168039123,Beauty
2024-07-31,-3588.5662103482964,Beauty
2024-08-31,3362.8991165458137,Beauty
2024-09-30,-2859.002143772347,Beauty
2024-10-31,10291.353042104307,Beauty
2024-11-30,-36332.928484634795,Beauty
2024-12-31,18101.386331785197,Beauty
2025-01-31,-25282.977644606217,Beauty
2024-01-31,-10366.707003931037,Clothing
2024-02-29,-38266.11832491496,Clothing
2024-03-31,-6310.890775331787,Clothing
2024-04-30,-28225.74203321655,Clothing
2024-05-31,51712.96434507515,Clothing
2024-06-30,-30460.23698635032,Clothing
2024-07-31,13040.073020514988,Clothing
2024-08-31,-6497.747781332826,Clothing
2024-09-30,-54214.15591392791,Clothing
2024-10-31,6403.854262573044,Clothing
2024-11-30,-16395.372709356045,Clothing
2024-12-31,1998.3925533626025,Clothing
2024-02-29,-25093.381834514592,Electronics
2024-03-31,39360.79996073687,Electronics
2024-04-30,-23522.031863947137,Electronics
2024-05-31,15425.740100501858,Electronics
2024-06-30,-29874.122433226057,Electronics
2024-07-31,40168.110021696586,Electronics
2024-08-31,-10808.007448857632,Electronics
2024-09-30,21616.52182456924,Electronics
2024-10-31,-37240.70133831914,Electronics
2024-11-30,13725.540932544787,Electronics
2024-12-31,25278.486595070462,Electronics
2025-01-31,-16165.377224149066,Electronics
