Date,SKU_ID,Sales_Quantity
2023-01-01,SKU_001,17
2023-01-02,SKU_001,14
2023-01-03,SKU_001,14
2023-01-04,SKU_001,13
2023-01-05,SKU_001,14
2023-01-06,SKU_001,13
2023-01-07,SKU_001,16
2023-01-08,SKU_001,16
2023-01-09,SKU_001,15
2023-01-10,SKU_001,17
2023-01-11,SKU_001,16
2023-01-12,SKU_001,17
2023-01-13,SKU_001,15
2023-01-14,SKU_001,14
2023-01-15,SKU_001,16
2023-01-16,SKU_001,14
2023-01-17,SKU_001,16
2023-01-18,SKU_001,13
2023-01-19,SKU_001,16
2023-01-20,SKU_001,14
2023-01-21,SKU_001,13
2023-01-22,SKU_001,17
2023-01-23,SKU_001,14
2023-01-24,SKU_001,17
2023-01-25,SKU_001,13
2023-01-26,SKU_001,13
2023-01-27,SKU_001,13
2023-01-28,SKU_001,14
2023-01-29,SKU_001,14
2023-01-30,SKU_001,13
2023-01-31,SKU_001,15
2023-02-01,SKU_001,16
2023-02-02,SKU_001,17
2023-02-03,SKU_001,13
2023-02-04,SKU_001,17
2023-02-05,SKU_001,16
2023-02-06,SKU_001,17
2023-02-07,SKU_001,17
2023-02-08,SKU_001,14
2023-02-09,SKU_001,17
2023-02-10,SKU_001,15
2023-02-11,SKU_001,15
2023-02-12,SKU_001,16
2023-02-13,SKU_001,14
2023-02-14,SKU_001,13
2023-02-15,SKU_001,15
2023-02-16,SKU_001,15
2023-02-17,SKU_001,15
2023-02-18,SKU_001,14
2023-02-19,SKU_001,17
2023-02-20,SKU_001,17
2023-02-21,SKU_001,13
2023-02-22,SKU_001,14
2023-02-23,SKU_001,14
2023-02-24,SKU_001,14
2023-02-25,SKU_001,14
2023-02-26,SKU_001,17
2023-02-27,SKU_001,14
2023-02-28,SKU_001,14
2023-03-01,SKU_001,13
2023-03-02,SKU_001,15
2023-03-03,SKU_001,13
2023-03-04,SKU_001,15
2023-03-05,SKU_001,17
2023-03-06,SKU_001,16
2023-03-07,SKU_001,17
2023-03-08,SKU_001,13
2023-03-09,SKU_001,14
2023-03-10,SKU_001,17
2023-03-11,SKU_001,17
2023-03-12,SKU_001,16
2023-03-13,SKU_001,17
2023-03-14,SKU_001,15
2023-03-15,SKU_001,17
2023-03-16,SKU_001,15
2023-03-17,SKU_001,15
2023-03-18,SKU_001,17
2023-03-19,SKU_001,15
2023-03-20,SKU_001,16
2023-03-21,SKU_001,16
2023-03-22,SKU_001,16
2023-03-23,SKU_001,16
2023-03-24,SKU_001,13
2023-03-25,SKU_001,14
2023-03-26,SKU_001,17
2023-03-27,SKU_001,16
2023-03-28,SKU_001,17
2023-03-29,SKU_001,17
2023-03-30,SKU_001,17
2023-03-31,SKU_001,13
2023-04-01,SKU_001,16
2023-04-02,SKU_001,17
2023-04-03,SKU_001,14
2023-04-04,SKU_001,16
2023-04-05,SKU_001,13
2023-04-06,SKU_001,13
2023-04-07,SKU_001,16
2023-04-08,SKU_001,17
2023-04-09,SKU_001,15
2023-04-10,SKU_001,17
2023-04-11,SKU_001,17
2023-04-12,SKU_001,17
2023-04-13,SKU_001,15
2023-04-14,SKU_001,16
2023-04-15,SKU_001,17
2023-04-16,SKU_001,17
2023-04-17,SKU_001,15
2023-04-18,SKU_001,13
2023-04-19,SKU_001,13
2023-04-20,SKU_001,15
2023-04-21,SKU_001,13
2023-04-22,SKU_001,16
2023-04-23,SKU_001,15
2023-04-24,SKU_001,15
2023-04-25,SKU_001,14
2023-04-26,SKU_001,15
2023-04-27,SKU_001,16
2023-04-28,SKU_001,13
2023-04-29,SKU_001,15
2023-04-30,SKU_001,16
2023-05-01,SKU_001,15
2023-05-02,SKU_001,13
2023-05-03,SKU_001,14
2023-05-04,SKU_001,16
2023-05-05,SKU_001,16
2023-05-06,SKU_001,14
2023-05-07,SKU_001,14
2023-05-08,SKU_001,16
2023-05-09,SKU_001,16
2023-05-10,SKU_001,14
2023-05-11,SKU_001,14
2023-05-12,SKU_001,17
2023-05-13,SKU_001,15
2023-05-14,SKU_001,15
2023-05-15,SKU_001,13
2023-05-16,SKU_001,13
2023-05-17,SKU_001,13
2023-05-18,SKU_001,15
2023-05-19,SKU_001,14
2023-05-20,SKU_001,13
2023-05-21,SKU_001,13
2023-05-22,SKU_001,17
2023-05-23,SKU_001,16
2023-05-24,SKU_001,17
2023-05-25,SKU_001,14
2023-05-26,SKU_001,15
2023-05-27,SKU_001,13
2023-05-28,SKU_001,17
2023-05-29,SKU_001,15
2023-05-30,SKU_001,17
2023-05-31,SKU_001,16
2023-06-01,SKU_001,14
2023-06-02,SKU_001,14
2023-06-03,SKU_001,13
2023-06-04,SKU_001,13
2023-06-05,SKU_001,14
2023-06-06,SKU_001,17
2023-06-07,SKU_001,14
2023-06-08,SKU_001,14
2023-06-09,SKU_001,16
2023-06-10,SKU_001,14
2023-06-11,SKU_001,16
2023-06-12,SKU_001,17
2023-06-13,SKU_001,13
2023-06-14,SKU_001,16
2023-06-15,SKU_001,14
2023-06-16,SKU_001,13
2023-06-17,SKU_001,17
2023-06-18,SKU_001,17
2023-06-19,SKU_001,16
2023-06-20,SKU_001,16
